id,name_enUS,name_koKR,name_frFR,name_deDE,name_zhCN,name_ruRU,name_esES,name_ptPT,nameMask,itemId_1,itemId_2,itemId_3,itemId_4,itemId_5,itemId_6,itemId_7,itemId_8,itemId_9,itemId_10,itemId_11,itemId_12,itemId_13,itemId_14,itemId_15,itemId_16,itemId_17,setSpellId_1,setSpellId_2,setSpellId_3,setSpellId_4,setSpellId_5,setSpellId_6,setSpellId_7,setSpellId_8,setThreshold_1,setThreshold_2,setThreshold_3,setThreshold_4,setThreshold_5,setThreshold_6,setThreshold_7,setThreshold_8,requiredSkillId,requiredSkillRank
1,The Gladiator,,,Der Gladiator,角斗士,Гладиатор,El Gladiador,O Gladiador,4128894,11729,11726,11728,11731,11730,0,0,0,0,0,0,0,0,0,0,0,0,13384,15666,7598,9336,0,0,0,0,3,2,5,4,0,0,0,0,0,0
41,Dal'Rend's Arms,,,Dal'Rend's Waffen,雷德双刀,Оружие Дал'Ренда,Armas de Dal'rend,Armas de Dal'rend,4128894,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14056,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
65,Spider's Kiss,,,Kuss der Spinne,蜘蛛之吻,Паучий Поцелуй,Beso de la Araña,Beijo Da Aranha,4128894,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17332,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
81,The Postmaster,,,Der Postmeister,邮差,Почтальон,El Jefe de Correos,O Chefe Do Correio,4128894,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0,9764,17498,9346,14590,14712,14410,0,0,2,5,4,3,3,5,0,0,0,0
121,Cadaverous Garb,,,Leichenhaftes Gewand,苍白,Трупный Наряд,Atuendo de Cadáver,Traje Cadavérico,4128894,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0,7516,9140,18686,15465,0,0,0,0,2,3,4,5,0,0,0,0,0,0
122,Necropile Raiment,,,Roben des Totenbeschwörers,骨堆,Одеяния Некрополя,Vestiduras Necrópilas,Traje Necrópilo,4128894,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0,7495,7516,18686,14047,0,0,0,0,3,2,4,5,0,0,0,0,0,0
123,Bloodmail Regalia,,,Ornat des Blutpanzers,血链,Регалии Кровавой Кольчуги,Atavío Mallasangre,Paramentos de Malha Sangrenta,4128894,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0,13665,18686,9140,7516,0,0,0,0,5,4,3,2,0,0,0,0,0,0
124,Deathbone Guardian,,,Wächter der Totengebeine,亡者之骨,Костяной Страж,Guardia de Hueso de Muerto,Guardião Ossomorte,4128894,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0,7516,9764,18686,13665,0,0,0,0,2,3,4,5,0,0,0,0,0,0
141,Volcanic Armor,,,Vulkanrüstung,火山,Вулканические Доспехи,Armadura Volcánica,Armadura Vulcânica,4128894,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9233,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
142,Stormshroud Armor,,,Sturmschleier,雷暴,Доспехи Грозового Покрова,Armadura de Embozo de Tormenta,Armadura Do Véu Da Tempestade,4128894,15056,15057,15058,21278,0,0,0,0,0,0,0,0,0,0,0,0,0,14027,44065,23863,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0
143,Devilsaur Armor,,,Teufelsaurierrüstung,魔暴龙护甲,Доспехи из Кожи Девизавра,Armadura de Demosaurio,Armadura de Demossauro,4128894,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15465,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
144,Ironfeather Armor,,,Eisenfederrüstung,铁羽护甲,Железноперые доспехи,Armadura Plumahierro,Armadura de Penaférrea,4128894,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14799,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
161,Defias Leather,,,Defiasleder,迪菲亚皮甲,Кожаные Доспехи Братства Справедливости,Cuero Defias,Couro de Défias,4128894,10399,10403,10402,10401,10400,81007,0,0,0,0,0,0,0,0,0,0,0,14712,7575,9762,44073,0,0,0,0,2,3,4,5,0,0,0,0,0,0
162,Embrace of the Viper,,,Umarmung der Viper,毒蛇的拥抱,Объятия Гадюки,Abrazo de la Víbora,Abraço Da Víbora,4128894,10412,10411,10413,10410,6473,81006,0,0,0,0,0,0,0,0,0,0,0,13679,9411,9408,9106,44070,44085,0,0,2,3,3,4,5,6,0,0,0,0
163,Chain of the Scarlet Crusade,,,Kette des Scharlachroten Kreuzzugs,血色十字军链甲,Цепь Алого Ордена,Cadena de la Cruzada Escarlata,Malha Encadeada Da Cruzada Escarlate,4128894,10329,10332,10328,10331,10330,10333,0,0,0,0,0,0,0,0,0,0,0,7517,14678,18074,15464,44076,0,0,0,2,3,4,5,6,0,0,0,0,0
181,Magister's Regalia,,,Ornat des Magisters,博学者的徽记,Регалии Магистра,Atavío de Magister,Paramentos Do Magíster,4128894,16685,16683,16686,16684,16687,16689,16688,16682,0,0,0,0,0,0,0,0,0,0,0,0,0,29091,27867,18679,30777,0,0,0,0,2,6,8,4,0,0
182,Vestments of the Devout,,,Gewänder des Gläubigen,虔诚,Ризы Благочестия,Vestimentas del Devoto,Vestimenta Do Devoto,4128894,16696,16691,16697,16693,16692,16695,16694,16690,0,0,0,0,0,0,0,0,0,0,14803,27778,18679,30779,0,0,0,0,2,6,8,4,0,0,0,0,0
183,Dreadmist Raiment,,,Nebel der Furcht,鬼雾,Одеяния Багрового Тумана,Vestiduras Calígine,Traje de Brumedo,4128894,16702,16703,16699,16701,16700,16704,16698,16705,0,0,0,0,0,0,0,0,0,0,0,29090,27780,18679,30778,0,0,0,0,2,6,8,4,0,0,0,0
184,Shadowcraft Armor,,,Rüstung der Schattenkunst,迅影,Доспехи Незаметности,Armadura Arte Sombrío,Armadura Da Arte Sombria,4128894,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0,0,29096,27787,18679,30771,0,0,0,0,2,6,8,4,0,0,0,0,0
185,Wildheart Raiment,,,Herz der Wildnis,野性之心,Облачение Звериного Сердца,Vestiduras Corazón Salvaje,Traje Do Coração Selvagem,4128894,16716,16715,16714,16720,16706,16718,16719,16717,0,0,0,0,0,0,0,0,0,29097,27781,0,18679,9334,9344,0,0,2,6,0,8,4,4,0,0,0,0
186,Beaststalker Armor,,,Rüstung des Bestienjägers,野兽追猎者,Доспехи Следопыта,Armadura de Acechabestias,Armadura Do Espreitador de Feras,4128894,16680,16675,16681,16677,16674,16678,16679,16676,0,0,0,0,0,0,0,0,0,0,0,0,0,29094,27785,18679,30772,0,0,0,0,2,6,8,4,0,0
187,The Elements,,,Die Elemente,元素,Стихии,Los Elementos,Os Elementos,4128894,16673,16670,16671,16667,16672,16668,16669,16666,0,0,0,0,0,0,0,0,0,0,0,0,29095,27774,18679,30780,0,0,0,0,2,6,8,4,0,0,0
188,Lightforge Armor,,,Esse des Lichts,光铸护甲,Доспехи Светлой Стали,Armadura Forjaluz,Armadura Da Forja de Luz,4128894,16723,16725,16722,16726,16724,16728,16729,16727,0,0,0,0,0,0,0,0,0,0,29093,0,27498,18679,30775,0,0,0,2,0,6,8,4,0,0,0,0
